,live_alone,live_friends,live_partner,live_parents,live_siblings,live_otherfamily,live_children,live_other,housework_amount,living_category,housework_mapped,living_category_var_names,living_category_var_names_emojis
41,0,0,0,1,0,1,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
42,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
43,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
44,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
45,0,0,1,0,0,0,0,0,I take care of all the housework,live_with_partner_only,0,...their partner,a partner 💞
46,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
47,0,0,1,1,0,0,1,0,I take care of most of the housework,0,0,Other,Other 🦄
48,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
50,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
51,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
52,0,0,0,0,0,0,1,0,We share it equally,live_with_children_only,1,.. alone <br> with children,children 👶🧸
53,0,1,0,0,0,0,0,0,I do less housework than others,friends_only,2,...friends,Friends 🎲🏘🍷
54,0,0,0,0,0,1,0,0,I take care of most of the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
55,0,0,0,1,0,0,0,0,0,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
56,0,0,0,1,0,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
57,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
58,0,0,0,0,0,1,0,0,I take care of all the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
59,0,0,1,0,0,0,1,0,I do less housework than others,live_with_partner_and_children_only,2,... partner and children,partner and children 🧒👭👶
60,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
62,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
63,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
64,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
65,0,0,0,0,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
66,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
67,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
68,0,0,0,1,0,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
69,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
70,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
71,0,0,0,0,0,1,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
72,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
73,0,0,0,1,1,1,0,0,I am not doing any housework,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
74,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
75,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
76,0,0,0,1,1,0,0,0,I am not doing any housework,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
77,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
78,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
79,0,0,0,0,0,0,1,1,I take care of most of the housework,0,0,Other,Other 🦄
80,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
81,0,0,1,0,0,0,0,0,I take care of all the housework,live_with_partner_only,0,...their partner,a partner 💞
82,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
83,0,0,0,1,0,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
85,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
86,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
87,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
88,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
89,0,0,0,0,0,0,0,1,We share it equally,0,1,Other,Other 🦄
90,0,0,1,1,1,1,0,0,I do less housework than others,0,2,Other,Other 🦄
91,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
92,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
93,0,0,1,0,0,1,1,0,We share it equally,0,1,Other,Other 🦄
94,0,0,0,1,0,0,0,0,0,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
95,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
96,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
97,0,0,1,0,0,0,0,0,I take care of all the housework,live_with_partner_only,0,...their partner,a partner 💞
98,0,0,0,0,0,0,1,0,I take care of most of the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
99,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
100,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
101,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
103,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
104,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
105,0,0,1,0,0,0,0,0,I take care of all the housework,live_with_partner_only,0,...their partner,a partner 💞
106,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
107,0,0,1,0,0,0,0,1,We share it equally,0,1,Other,Other 🦄
108,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
109,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
110,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
111,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
112,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
114,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
116,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
117,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
118,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
120,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
121,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
122,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
123,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
124,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
125,0,0,0,1,0,0,0,0,I am not doing any housework,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
126,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
128,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
129,0,0,0,0,0,0,0,1,I take care of all the housework,0,0,Other,Other 🦄
130,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
131,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
133,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
134,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
136,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
137,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
139,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
142,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
143,0,0,1,0,0,0,0,0,I am not doing any housework,live_with_partner_only,2,...their partner,a partner 💞
144,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
145,0,0,0,0,0,0,0,1,I do less housework than others,0,2,Other,Other 🦄
146,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
147,0,0,0,1,0,0,0,0,I take care of most of the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
148,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
149,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
150,0,0,0,1,0,0,0,0,I take care of most of the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
151,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
153,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
154,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
155,0,0,0,1,1,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
156,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
157,0,0,0,1,0,0,0,0,I am not doing any housework,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
159,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
160,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
161,0,0,1,1,0,0,1,0,I take care of all the housework,0,0,Other,Other 🦄
162,0,0,0,0,0,0,1,0,I take care of most of the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
163,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
164,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
165,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
166,0,1,0,0,0,0,0,0,I take care of all the housework,friends_only,0,...friends,Friends 🎲🏘🍷
168,0,0,0,0,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
169,0,0,0,0,1,0,0,0,I take care of most of the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
170,0,0,0,1,0,0,0,0,I take care of all the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
171,0,0,0,1,0,0,0,0,I take care of most of the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
172,0,0,0,1,0,0,1,0,We share it equally,0,1,Other,Other 🦄
173,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
174,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
175,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
176,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
177,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
178,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
179,0,0,1,0,0,1,1,0,We share it equally,0,1,Other,Other 🦄
180,0,1,0,0,0,0,0,0,I take care of most of the housework,friends_only,0,...friends,Friends 🎲🏘🍷
181,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
182,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
183,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
184,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
185,0,0,0,1,1,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
186,0,0,1,1,0,0,0,0,I do less housework than others,0,2,Other,Other 🦄
187,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
188,0,0,0,0,0,1,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
189,0,0,1,0,0,0,0,1,I take care of most of the housework,0,0,Other,Other 🦄
190,0,0,0,1,1,0,0,0,I take care of most of the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
192,0,0,1,1,0,0,0,0,I take care of most of the housework,0,0,Other,Other 🦄
195,0,0,0,1,0,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
196,0,0,0,1,1,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
197,0,1,1,0,0,0,0,0,We share it equally,0,1,Other,Other 🦄
198,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
199,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
200,0,0,1,0,0,0,1,0,0,live_with_partner_and_children_only,2,... partner and children,partner and children 🧒👭👶
202,0,0,1,0,0,0,0,0,I take care of all the housework,live_with_partner_only,0,...their partner,a partner 💞
203,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
204,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
205,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
206,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
207,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
208,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
209,0,0,0,1,0,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
210,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
211,0,0,1,0,0,0,0,0,I do less housework than others,live_with_partner_only,2,...their partner,a partner 💞
212,0,0,1,0,0,0,0,0,I take care of all the housework,live_with_partner_only,0,...their partner,a partner 💞
213,0,0,0,1,1,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
214,0,0,0,0,0,1,1,0,I take care of all the housework,0,0,Other,Other 🦄
215,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
218,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
220,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
221,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
223,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
224,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
225,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
226,0,0,1,0,0,0,0,0,I do less housework than others,live_with_partner_only,2,...their partner,a partner 💞
227,0,0,0,1,1,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
230,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
231,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
232,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
233,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
235,0,0,1,0,0,0,0,0,I take care of all the housework,live_with_partner_only,0,...their partner,a partner 💞
238,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
240,0,0,0,1,0,0,0,0,I take care of most of the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
241,0,0,0,1,1,0,0,0,I take care of most of the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
242,0,0,1,0,0,0,0,0,I do less housework than others,live_with_partner_only,2,...their partner,a partner 💞
243,0,1,1,0,0,0,0,0,We share it equally,0,1,Other,Other 🦄
244,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
245,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
246,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
247,0,0,1,0,0,0,0,0,I take care of all the housework,live_with_partner_only,0,...their partner,a partner 💞
248,0,0,0,1,1,0,0,0,I am not doing any housework,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
249,0,0,0,1,0,0,1,0,I take care of most of the housework,0,0,Other,Other 🦄
250,0,0,1,0,0,0,0,0,I take care of all the housework,live_with_partner_only,0,...their partner,a partner 💞
251,0,0,0,0,0,0,1,0,I take care of most of the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
252,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
253,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
254,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
255,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
256,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
257,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
258,0,0,1,0,0,0,0,0,I do less housework than others,live_with_partner_only,2,...their partner,a partner 💞
259,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
261,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
262,0,0,0,0,0,0,1,0,We share it equally,live_with_children_only,1,.. alone <br> with children,children 👶🧸
263,0,0,1,0,0,0,0,0,I take care of all the housework,live_with_partner_only,0,...their partner,a partner 💞
264,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
265,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
266,0,0,0,0,0,0,0,1,I do less housework than others,0,2,Other,Other 🦄
267,0,0,0,1,1,0,0,1,We share it equally,0,1,Other,Other 🦄
268,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
269,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
270,0,1,1,0,0,0,0,0,We share it equally,0,1,Other,Other 🦄
271,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
272,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
273,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
275,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
276,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
277,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
279,0,0,0,1,1,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
280,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
282,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
283,0,0,0,1,1,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
284,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
285,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
286,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
287,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
288,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
289,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
290,0,0,0,1,0,1,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
293,0,0,1,1,0,0,1,0,I do less housework than others,0,2,Other,Other 🦄
294,0,0,0,1,1,0,0,0,I am not doing any housework,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
295,0,0,0,1,0,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
