,date_of_report,postal_code,first_time_experience,aggressor,written_report
134,27/05/2020 10:55 PM,M1 1AE,no,brother,xwq3m47jjca9aleyvbcimsgv
135,11/04/2020 12:15 AM,X,yes,father,1qvtekh58yhdv93zduhbkf7wa
136,04/05/2020 03:38 AM,nan,no,father-in-law,j4gx3tf99h9lwkr7bxdk70i3d
137,21/05/2020 02:07 AM,B33 8TH,no,father,ycpvwgtxwsc75yqjfkm4arrt28oryu6nhxm5lk3m4s8bxkuq6u
138,31/05/2020 04:44 AM,CR2 6XH,no,brother,f46u7o49yehfbg
139,10/05/2020 12:21 PM,W1A 0AX,yes,brother,89bzy8oy99p1mzz
140,20/04/2020 12:56 AM,nan,no,brother,f9
141,06/05/2020 09:21 PM,W1A 0AX,no,partner,fhg8ixkokaeo0e1cgj56xwj3ug31x28cqigqx9vorptyt
142,25/05/2020 01:49 AM,SW1V 4DG,no,father-in-law,nqbm2npb8f62nqcjg5pj
143,29/04/2020 07:43 AM,nan,yes,father,diafb87vf3v
144,07/05/2020 06:36 PM,SE1 8XX,no,father-in-law,jj5s1v823xjacp
145,26/05/2020 08:23 AM,DN55 1PT,yes,brother,gli
146,29/04/2020 10:21 AM,W1A 0AX,no,partner,6ehredn5d9mu8fy1ivu5ic3wlk23kp37ecc96
147,30/05/2020 04:17 AM,SW1 3RN,yes,partner,ivhhyawula1pp73x0r2zhhf0tkj6ptymg2e5ns59qbrk4g
148,26/05/2020 04:07 PM,SW1V 4DG,yes,father-in-law,wj1lngd3lt3yc50be79ztm9g9ve2l1oirdu
149,13/04/2020 07:13 AM,EC1A 1BB,yes,father-in-law,meslvh54
150,27/04/2020 11:56 AM,W1A 0AX,no,brother,dqw8hqw179ntejb9ivdasnqe4lasb87kr5akba6bdo8p
151,18/04/2020 05:11 AM,B7 4NG,no,father,loey3sk8mo935my1xegzs0tslm83gi0a5y9f
152,15/05/2020 04:54 AM,SW1 3RN,yes,brother,e0q4bumvcirg5656q0
153,20/05/2020 08:11 PM,SW1 3RN,no,father-in-law,3rp76bv2
154,13/05/2020 07:16 PM,W1A 0AX,no,father-in-law,p2wbenwsuyfvj
155,13/05/2020 11:12 AM,B7 4NG,no,father,pyflyp43mp644crsxo2czow8nh5fgafnkl72fu6ku6fk
156,04/05/2020 07:40 AM,DN55 1PT,no,father,xw2vj1mm30
157,22/04/2020 11:42 AM,X,no,father-in-law,scn1uhurf3ql29z7wu2nz2ujisz0h2yc
158,14/04/2020 03:42 AM,B33 8TH,yes,partner,8yx3nc68c8im1g119r0np8hy497zvntfsfh8wpqmnnshzen16
159,25/04/2020 06:06 PM,B7 4NG,yes,partner,p64n6x6k6cqkoga7tljktbr7tkkyla174ie
160,21/04/2020 10:22 PM,B33 8TH,yes,father-in-law,q3m2mbre7sc7bttjmjy3cz
161,14/05/2020 07:08 AM,nan,yes,partner,2pl8goxtr
162,13/05/2020 06:30 AM,B33 8TH,yes,father-in-law,8723vk2npwl4x0wgqoeab7zqf1kqhegze71
163,19/04/2020 01:59 AM,B7 4NG,yes,father,t3fjm9mn2j1gpgb7mw7xu4alz2ukchn4iwq8e1m3b89zrmwh
164,14/05/2020 08:41 PM,DN55 1PT,no,father-in-law,9evoocinuu1dve284bhgz9y
165,16/04/2020 10:26 PM,W1A 0AX,no,father,mr11e0bxfm8erxu95yfea0tdbi0yp283ccw
166,14/05/2020 09:05 PM,W1A 0AX,yes,father,tlgffm5
167,09/05/2020 02:56 PM,SE1 8XX,yes,father-in-law,wfg9r6010rhkb5e46buye6q3x1lf7ry3fd7f5e0kp6i1w50s
168,23/05/2020 07:17 AM,SW1V 4DG,yes,father-in-law,b08nk57bc1e668yl0aa2j9xn
169,05/05/2020 01:57 AM,DN55 1PT,no,father,1tkv5hgi51fn6m8
170,15/04/2020 04:40 AM,M1 1AE,no,brother,cw5i733vu4hqlm5sbkwqda0ojloox11cxf8x779zwxs1fft31n
171,27/04/2020 12:36 PM,B7 4NG,no,partner,
172,22/04/2020 04:26 PM,EC1A 1BB,no,father,8hd8bhb8kzb3kgd1nsm79g0cnuom9d
173,23/05/2020 08:12 PM,SE1 8XX,yes,partner,hvtzh2x8t1b
174,30/05/2020 12:09 AM,M1 1AE,yes,father,wdcdjf6i4x3uwvl685hjd
175,24/04/2020 01:16 AM,SW1V 4DG,no,father,abr
176,25/04/2020 07:29 AM,SW1V 4DG,yes,partner,iig1e7
177,13/04/2020 07:48 AM,M1 1AE,yes,brother,5k82vbhnoutwn1gm8q62ce05kv
178,11/04/2020 02:32 AM,SW1 3RN,yes,partner,kggtl0osi7f5zwqqb0klubhe2cadu661ivmkq5cxap
179,14/05/2020 08:26 PM,B7 4NG,no,brother,qqupbycpqmydgkd66i9qs7pcv3cxub
180,24/05/2020 09:59 AM,SW1V 4DG,yes,partner,pptj
181,09/05/2020 08:56 AM,X,no,father,387t6wgjtvie21n2fw4p1qszaw5zo9ky
182,15/05/2020 03:45 PM,B7 4NG,no,partner,lw6dsi6y685gz21t1y66y872
183,24/05/2020 10:07 AM,X,no,father,sb3md2mg2pvm4tq9lne6gci8br75d14tpdp6i0
184,01/05/2020 05:46 AM,X,no,partner,ukpmg4
185,29/05/2020 09:53 PM,CR2 6XH,no,brother,hrn5d6kp
186,12/05/2020 02:42 AM,X,yes,father,br16afs4f26tgwhqeky3baynx09da974rofu0dhoezqm
187,11/05/2020 02:20 AM,B7 4NG,no,brother,e6i6rea9mtk0cga5zs5swv454zat0yt
188,09/04/2020 08:24 AM,DN55 1PT,yes,father,1ggh68
189,08/04/2020 03:27 PM,W1A 0AX,yes,father-in-law,hfpj4m3szbvi004e1lq
190,09/04/2020 09:10 AM,M1 1AE,no,brother,25spp91ftq7u4e2auut8bhiqz
191,08/05/2020 07:27 PM,nan,no,father-in-law,z2hkkd5g
192,29/05/2020 06:02 PM,B7 4NG,no,father-in-law,s90obnxh9nmp
193,24/05/2020 02:21 PM,CR2 6XH,yes,father,aego8bnh5uwclnp166s8elj
194,29/04/2020 03:05 AM,EC1A 1BB,yes,father-in-law,jjuwhth236efwzye520ah06m6o3sivkxnzqyv6lpi3ezmtj7f
195,16/05/2020 06:25 AM,DN55 1PT,no,brother,jdy3tqkmwuuhsj2fq23jicuc5gz98h0b29ju1
196,25/05/2020 12:49 PM,M1 1AE,yes,partner,npo
197,28/04/2020 06:53 AM,nan,no,brother,wob60hds5d3gkr
198,10/04/2020 09:31 PM,M1 1AE,no,father,yo8bfb6smhwv6t8hk25hq96rg4xewvkud7n7d7f3fr3vznqdv
199,16/04/2020 12:00 PM,DN55 1PT,no,partner,me4tszix83632x2p
200,31/05/2020 07:05 PM,SW1V 4DG,no,father,ql8gqacjt7189whniuk7mq5v1immw6fofrxmte1azskh7ib
201,29/05/2020 12:02 PM,X,no,brother,qcz5a7d9xpbfm5fovoz3yqj7fkfbupwf
202,20/04/2020 07:15 PM,B7 4NG,no,brother,w7uqiuykn87nkbb6wjeuzan2u4
203,10/05/2020 07:54 PM,SW1 3RN,no,father-in-law,7p9lq9yb1pq743s9kxr7llayq9s2mz7rfebeck8rw05vsgz48
204,15/05/2020 10:09 PM,W1A 0AX,yes,father,c2
205,10/04/2020 07:06 PM,SW1V 4DG,no,brother,ht9lhqsqm1px045v4ywq1d8ms5zti2
206,29/04/2020 08:29 AM,X,no,father,yrxief5
207,13/04/2020 03:43 AM,W1A 0AX,yes,father,td
208,22/04/2020 10:18 AM,DN55 1PT,no,partner,r0tib9tjkf5gx9fic5d
209,12/04/2020 07:14 PM,M1 1AE,yes,father,vtbof0q5z4m8q8xikhy8glbi9dj4oomh
210,15/05/2020 01:35 PM,M1 1AE,yes,brother,swc9owk8nrdhojeajsg63z0jqapjqpfv
211,03/05/2020 09:06 PM,X,no,father,zdev4ihfql16syvfe2z2upuw1ar0jprb7g4dbh
212,27/04/2020 05:46 AM,SE1 8XX,no,father-in-law,lbi8bc439adkcvkh5qbhfyzo7ny03fjyona71qgk59j
213,25/05/2020 04:28 AM,SW1V 4DG,yes,partner,atw54oq79r9mk4
214,08/05/2020 02:05 AM,DN55 1PT,no,brother,eayniu8ecmcu7bmtdxq78wq88sfnhljk3joy
215,22/05/2020 07:39 AM,nan,yes,father-in-law,fbhd9pggwrzoa9jkaezy10yd0dabtrql2k167z12sj
216,31/05/2020 04:45 PM,SE1 8XX,no,partner,8ukvhvv91xy8xom64dcqxoohnwfoytgbedrkcepp6cqact
217,13/04/2020 05:27 PM,nan,no,father,yz3iqq65avhb
218,25/05/2020 06:41 PM,B7 4NG,no,father,oxisapve2c9o8
219,30/04/2020 12:54 AM,M1 1AE,no,partner,dx06g5gxxovaswpitu4xk5
220,08/05/2020 02:25 PM,CR2 6XH,yes,father-in-law,0hi1p1nqqee912hrev2pbva3evax47b95j
221,27/05/2020 06:21 PM,DN55 1PT,yes,brother,3mbllaul9d9hpu8
222,17/04/2020 11:37 PM,X,yes,father,w0reoyd246oid07gs49lhu9kmjmo
223,29/05/2020 05:52 PM,EC1A 1BB,yes,partner,koduhqlqyx1pz6r2p67ygkr7s0jwa
224,07/05/2020 01:57 PM,CR2 6XH,no,partner,8uzgubajsjayl0a6nrnhgfk4qlm2z9lns2rn
225,28/04/2020 07:16 PM,X,no,brother,li3vn7k
226,23/04/2020 04:47 AM,B7 4NG,yes,partner,3mf
227,27/04/2020 12:27 PM,CR2 6XH,yes,partner,umud8kv8t51
228,28/04/2020 09:10 PM,M1 1AE,no,father,c14fnck97ahfjgx45a0f72fwwz2lp4hadmaegvud
229,05/05/2020 03:37 PM,X,yes,partner,eeewizdc6dqgbob1nih8w1y6svakab8foxdxg7k3ql0z8b40b
230,15/05/2020 03:40 PM,SW1V 4DG,yes,brother,rqnsozwt3
231,28/04/2020 05:45 PM,M1 1AE,no,father-in-law,
232,17/05/2020 02:11 PM,SW1V 4DG,no,father-in-law,9y8pnt7h6vrkt1xsg8
233,20/04/2020 06:42 PM,X,yes,brother,moayep2stzxqhff4
234,02/05/2020 05:12 AM,SW1V 4DG,yes,brother,yrvpe1svm40iz27u
235,15/05/2020 07:11 PM,M1 1AE,yes,father-in-law,
236,20/04/2020 04:14 AM,X,yes,father-in-law,jcnifwi9fafp37qubl7lf98ab9kwpla0zorx
237,24/05/2020 09:56 PM,B7 4NG,yes,father,zgpadnxub5y8douipmyk0cftd0ob4tmv017
238,15/04/2020 09:21 PM,W1A 0AX,yes,father,ecu
239,10/04/2020 06:01 PM,B7 4NG,no,father-in-law,wy3
240,03/05/2020 04:58 PM,SE1 8XX,no,brother,jw0gi9egznbow4t3vg6cflj
241,18/05/2020 09:39 AM,B33 8TH,yes,partner,zl7
242,11/04/2020 04:21 AM,CR2 6XH,yes,brother,noxeae7z6pknve58dsc1sngbcz
243,10/05/2020 04:11 AM,EC1A 1BB,no,father-in-law,bstxdzrgibk9p49yl5vot10a
244,27/05/2020 03:12 AM,SW1 3RN,yes,father,5iq1dc2xzf7y3a7hcbp4o4mrs35vcrs7uex
245,30/04/2020 03:54 PM,EC1A 1BB,yes,brother,lsc940yhmscp1vgv3pbwrgmig7l2ce0j8kde67a7dsc
246,14/04/2020 01:37 AM,B7 4NG,yes,partner,bzi1n2ffvwltrhlmm1odh6g4pdwsyh2zrgdfc8vu
247,29/04/2020 08:35 AM,DN55 1PT,no,brother,fm48brnuox3tchuwxc
248,23/05/2020 04:49 PM,SW1V 4DG,no,father,mcrzzlslqj700yx92w8nmwrj12rivnh76
249,24/05/2020 11:23 AM,B7 4NG,no,father,u2fuch3bonnnhqrbk6l4ea5dmnphhyvm4u3p
250,02/05/2020 10:21 PM,nan,no,father-in-law,y9x32dao4zsju
251,18/05/2020 09:16 AM,SE1 8XX,no,partner,8ruhy6oja6
252,06/05/2020 08:03 PM,B33 8TH,no,brother,lqbxw4u9
253,28/05/2020 11:03 AM,CR2 6XH,yes,brother,1eqf
254,08/04/2020 12:12 PM,M1 1AE,no,partner,m7b0jd504wthwtoopkvwgn8d4mrswxg5zz7oxvjhgi386t
255,22/04/2020 02:19 AM,SW1 3RN,no,partner,
256,23/05/2020 09:43 PM,nan,yes,father-in-law,bvirg45rb9d33h
257,22/05/2020 11:02 PM,nan,no,father,k4gwa
258,21/05/2020 12:35 AM,EC1A 1BB,yes,brother,lbmpx9
259,14/04/2020 02:26 AM,SW1 3RN,no,father,x2t1eujucwu03rv2t6ifqmbl
260,15/05/2020 01:11 PM,B7 4NG,no,partner,sl37asg0sza4q41xsgtcg
261,29/05/2020 04:36 AM,M1 1AE,yes,partner,eu79xtep0rkho31825eh4jeyuidjkje0btjxriq3gozjgwfjf
262,25/04/2020 07:47 AM,M1 1AE,yes,father,q6e5yymfvz6n9qy3l8ef3l1q1ukguzq7susztvkqb
263,05/05/2020 11:42 AM,M1 1AE,yes,father,15c05wsclcar19xj6870ji7m0jb5m93s5z59n5eo1ypu
264,23/05/2020 01:51 PM,CR2 6XH,yes,partner,4729rg5okhqz4eidr9vlqy859wzo4mjby7xutysoeyd2l1cn
265,18/04/2020 03:27 PM,SW1 3RN,no,father-in-law,ts6j0ovdiyl175zf50est1b9hg8xl3zbcc7pz00fjbetwec2pl
266,22/05/2020 06:04 PM,B7 4NG,yes,partner,xt6680ar16zlt3mtmxoujxfbero7bm
267,17/04/2020 10:41 AM,B33 8TH,no,father-in-law,93qct7z15dlxrvvvz
268,09/04/2020 09:52 AM,SW1V 4DG,no,father,8lipaa7n8kdtj1wy07emlotq5gpuaypsx0wt
269,12/04/2020 09:01 PM,SW1 3RN,no,father,4y1qt49ac5cfrat32szuy9bzrbykptwe8p81cfbfo54b76h
270,13/05/2020 04:57 AM,SE1 8XX,yes,brother,e793t57x
271,12/05/2020 07:51 AM,CR2 6XH,yes,partner,yrhf8h9ttohne5nrvuhkpq44nkzn8hyx5pugdzjj37tyd3m
272,22/04/2020 01:41 PM,M1 1AE,yes,brother,zwtse1oy
273,02/05/2020 09:28 PM,CR2 6XH,no,partner,aamwgiqgi5e73351vu8ay2ol0t
274,15/04/2020 10:11 PM,B33 8TH,no,partner,rc75fxifhi7qprj0iczrl5q30m4iaau
